ds,yhat
2021-03-04,784980.6283
2021-03-05,774311.3948
2021-03-06,471204.7337
2021-03-07,352929.4991
2021-03-08,737385.4628
2021-03-09,784355.738
2021-03-10,776750.5348
2021-03-11,765123.3296
2021-03-12,755798.4729
2021-03-13,454609.1716
2021-03-14,338734.3027
2021-03-15,725970.3801
2021-03-16,775987.5243
2021-03-17,771577.0221
2021-03-18,763171.4385
2021-03-19,756976.1809
2021-03-20,458711.3282
2021-03-21,345452.0647
2021-03-22,734903.9275
2021-03-23,786661.6193
2021-03-24,783458.8874
2021-03-25,775690.3629
2021-03-26,769544.2095
2021-03-27,470744.3656
2021-03-28,356390.7098
2021-03-29,744233.3706
2021-03-30,793929.9652
2021-03-31,788293.3209
2021-04-01,777810.6404
2021-04-02,768773.0509
2021-04-03,467014.414
2021-04-04,349747.8389
2021-04-05,734836.2323
2021-04-06,782045.7903
2021-04-07,774290.0999
2021-04-08,762145.9292
2021-04-09,751979.7477
2021-04-10,449683.9509
2021-04-11,332511.313
2021-04-12,718344.0648
2021-04-13,766946.5498
2021-04-14,761209.1543
2021-04-15,751664.5957
2021-04-16,744615.5986
2021-04-17,445872.8992
2021-04-18,332592.0476
2021-04-19,722545.3367
2021-04-20,775377.7237
2021-04-21,773854.3425
2021-04-22,768380.5825
2021-04-23,765133.6485
2021-04-24,469804.4249
2021-04-25,359437.995
2021-04-26,751709.0326
2021-04-27,806180.8242
2021-04-28,805555.4249
2021-04-29,800195.8425
2021-04-30,796259.0972
2021-05-01,499438.9323
2021-05-02,386806.4997
2021-05-03,776085.2259
2021-05-04,826908.6322
2021-05-05,822068.6424
2021-05-06,812035.3259
2021-05-07,803086.9918
2021-05-08,501049.4967
2021-05-09,383133.185
2021-05-10,767203.7818
2021-05-11,813036.1219
2021-05-12,803558.3738
2021-05-13,789367.8217
2021-05-14,776857.241
2021-05-15,471950.8379
2021-05-16,351938.2725
2021-05-17,734743.1711
2021-05-18,780175.084
2021-05-19,771172.5987
2021-05-20,758318.7082
2021-05-21,747967.4819
2021-05-22,445981.0034
2021-05-23,329565.0688
2021-05-24,716540.0009
2021-05-25,766595.4737
2021-05-26,762536.974
2021-05-27,754804.9028
2021-05-28,749605.2597
2021-05-29,452650.7565
2021-05-30,341000.7365
2021-05-31,732336.1315
2021-06-01,786218.2339
