ds,y
2015-08-18,782272
2015-08-19,801496
2015-08-20,820929
2015-08-21,829744
2015-08-22,582295
2015-08-23,412542
2015-08-24,824140
2015-08-25,838405
2015-08-26,860821
2015-08-27,858460
2015-08-28,841111
2015-08-29,520511
2015-08-30,417777
2015-08-31,836125
2015-09-01,909864
2015-09-02,882052
2015-09-03,907453
2015-09-04,869966
2015-09-05,571868
2015-09-06,452841
2015-09-07,419206
2015-09-08,885886
2015-09-09,966510
2015-09-10,928707
2015-09-11,924272
2015-09-12,553239
2015-09-13,423559
2015-09-14,930582
2015-09-15,956026
2015-09-16,956622
2015-09-17,927771
2015-09-18,895702
2015-09-19,558990
2015-09-20,433770
2015-09-21,935471
2015-09-22,947566
2015-09-23,942933
2015-09-24,942518
2015-09-25,951827
2015-09-26,598862
2015-09-27,422542
2015-09-28,929278
2015-09-29,914286
2015-09-30,946374
2015-10-01,993576
2015-10-02,981039
2015-10-03,571153
2015-10-04,417529
2015-10-05,948999
2015-10-06,967808
2015-10-07,970204
2015-10-08,959798
2015-10-09,931769
2015-10-10,577667
2015-10-11,400140
2015-10-12,759254
2015-10-13,947941
2015-10-14,954519
2015-10-15,946290
2015-10-16,936818
2015-10-17,578160
2015-10-18,415455
2015-10-19,930236
2015-10-20,950953
2015-10-21,955633
2015-10-22,942983
2015-10-23,915489
2015-10-24,556146
2015-10-25,415182
2015-10-26,929741
2015-10-27,916953
2015-10-28,910794
2015-10-29,916453
2015-10-30,949185
2015-10-31,500004
2015-11-01,436791
2015-11-02,940464
2015-11-03,987382
2015-11-04,956176
2015-11-05,942300
2015-11-06,925054
2015-11-07,573470
2015-11-08,414784
2015-11-09,923927
2015-11-10,940362
2015-11-11,755234
2015-11-12,879349
2015-11-13,837532
2015-11-14,545554
2015-11-15,411704
2015-11-16,908305
2015-11-17,880013
2015-11-18,893671
2015-11-19,884290
2015-11-20,894949
2015-11-21,429624
2015-11-22,356953
2015-11-23,877236
2015-11-24,898177
2015-11-25,735265
2015-11-26,288282
2015-11-27,443089
2015-11-28,459598
2015-11-29,365314
2015-11-30,870662
2015-12-01,949925
2015-12-02,906715
2015-12-03,940609
2015-12-04,930083
2015-12-05,566882
2015-12-06,411174
2015-12-07,898172
2015-12-08,910018
2015-12-09,916281
2015-12-10,909606
2015-12-11,912854
2015-12-12,541305
2015-12-13,383666
2015-12-14,849106
2015-12-15,884506
2015-12-16,871638
2015-12-17,864846
2015-12-18,846033
2015-12-19,506208
2015-12-20,392051
2015-12-21,696473
2015-12-22,722061
2015-12-23,654312
2015-12-24,531521
2015-12-25,231718
2015-12-26,387357
2015-12-27,334737
2015-12-28,514171
2015-12-29,638221
2015-12-30,636706
2015-12-31,604409
2016-01-01,303321
2016-01-02,448859
2016-01-03,340540
2016-01-04,829429
2016-01-05,846789
2016-01-06,853904
2016-01-07,846274
2016-01-08,841494
2016-01-09,469539
2016-01-10,306896
2016-01-11,753006
2016-01-12,760149
2016-01-13,787220
2016-01-14,859099
2016-01-15,858032
2016-01-16,486797
2016-01-17,266532
2016-01-18,439597
2016-01-19,810646
2016-01-20,856911
2016-01-21,873177
2016-01-22,841282
2016-01-23,487975
2016-01-24,352859
2016-01-25,865486
2016-01-26,872768
2016-01-27,882832
2016-01-28,877280
2016-01-29,863548
2016-01-30,510514
2016-01-31,358361
2016-02-01,926781
2016-02-02,833911
2016-02-03,925655
2016-02-04,901406
2016-02-05,785587
2016-02-06,522296
2016-02-07,377642
2016-02-08,856547
2016-02-09,858961
2016-02-10,850090
2016-02-11,866884
2016-02-12,820833
2016-02-13,438203
2016-02-14,339238
2016-02-15,605584
2016-02-16,883108
2016-02-17,889758
2016-02-18,890627
2016-02-19,887914
2016-02-20,566721
2016-02-21,378769
2016-02-22,869531
2016-02-23,890949
2016-02-24,795160
2016-02-25,855117
2016-02-26,865397
2016-02-27,536678
2016-02-28,385121
2016-02-29,862380
2016-03-01,859775
2016-03-02,878633
2016-03-03,882188
2016-03-04,883059
2016-03-05,503983
2016-03-06,393610
2016-03-07,866171
2016-03-08,902888
2016-03-09,882030
2016-03-10,888084
2016-03-11,886599
2016-03-12,542246
2016-03-13,332203
2016-03-14,870740
2016-03-15,887592
2016-03-16,876232
2016-03-17,891580
2016-03-18,875707
2016-03-19,520426
2016-03-20,388282
2016-03-21,845669
2016-03-22,863201
2016-03-23,838201
2016-03-24,770638
2016-03-25,722960
2016-03-26,518549
2016-03-27,342269
2016-03-28,842760
2016-03-29,891134
2016-03-30,860700
2016-03-31,832775
2016-04-01,848592
2016-04-02,492072
2016-04-03,396042
2016-04-04,857791
2016-04-05,898889
2016-04-06,851050
2016-04-07,867670
2016-04-08,782419
2016-04-09,509980
2016-04-10,345627
2016-04-11,878043
2016-04-12,886265
2016-04-13,850705
2016-04-14,863513
2016-04-15,881603
2016-04-16,554744
2016-04-17,409732
2016-04-18,785035
2016-04-19,765854
2016-04-20,774694
2016-04-21,768704
2016-04-22,745475
2016-04-23,503944
2016-04-24,397080
2016-04-25,854155
2016-04-26,862743
2016-04-27,856722
2016-04-28,851720
2016-04-29,893284
2016-04-30,474138
2016-05-01,376131
2016-05-02,878407
2016-05-03,879141
2016-05-04,879217
2016-05-05,898541
2016-05-06,877873
2016-05-07,512770
2016-05-08,393146
2016-05-09,815440
2016-05-10,827322
2016-05-11,873275
2016-05-12,849532
2016-05-13,852594
2016-05-14,497514
2016-05-15,384799
2016-05-16,836089
2016-05-17,839788
2016-05-18,856701
2016-05-19,855438
2016-05-20,834308
2016-05-21,513934
2016-05-22,393684
2016-05-23,839566
2016-05-24,854725
2016-05-25,833427
2016-05-26,853656
2016-05-27,808244
2016-05-28,500775
2016-05-29,409978
2016-05-30,394914
2016-05-31,801439
2016-06-01,872679
2016-06-02,873112
2016-06-03,892290
2016-06-04,504778
2016-06-05,415836
2016-06-06,854036
2016-06-07,863284
2016-06-08,866785
2016-06-09,828551
2016-06-10,862529
2016-06-11,530558
2016-06-12,409577
2016-06-13,827684
2016-06-14,834141
2016-06-15,845450
2016-06-16,832864
2016-06-17,832088
2016-06-18,526402
2016-06-19,405719
2016-06-20,785446
2016-06-21,834157
2016-06-22,707452
2016-06-23,757817
2016-06-24,762562
2016-06-25,531261
2016-06-26,380689
2016-06-27,753543
2016-06-28,771611
2016-06-29,774728
2016-06-30,763112
2016-07-01,798706
2016-07-02,530654
2016-07-03,415172
2016-07-04,393858
2016-07-05,769179
2016-07-06,771626
2016-07-07,769513
2016-07-08,786823
2016-07-09,536269
2016-07-10,409685
2016-07-11,769128
2016-07-12,782892
2016-07-13,762764
2016-07-14,794813
2016-07-15,769172
2016-07-16,529240
2016-07-17,372190
2016-07-18,774239
2016-07-19,795162
2016-07-20,788803
2016-07-21,737845
2016-07-22,745409
2016-07-23,472199
2016-07-24,370394
2016-07-25,757860
2016-07-26,786060
2016-07-27,789537
2016-07-28,745499
2016-07-29,739138
2016-07-30,503786
2016-07-31,400504
2016-08-01,805970
2016-08-02,795778
2016-08-03,822281
2016-08-04,783253
2016-08-05,779186
2016-08-06,539382
2016-08-07,398288
2016-08-08,759970
2016-08-09,781438
2016-08-10,777389
2016-08-11,767967
2016-08-12,700723
2016-08-13,522972
2016-08-14,402523
2016-08-15,718167
2016-08-16,762943
2016-08-17,759254
2016-08-18,740297
2016-08-19,743211
2016-08-20,480928
2016-08-21,417057
2016-08-22,764690
2016-08-23,784341
2016-08-24,751955
2016-08-25,775862
2016-08-26,797432
2016-08-27,501883
2016-08-28,395954
2016-08-29,781400
2016-08-30,791868
2016-08-31,815110
2016-09-01,847144
2016-09-02,838151
2016-09-03,542836
2016-09-04,427194
2016-09-05,399846
2016-09-06,910863
2016-09-07,885587
2016-09-08,882599
2016-09-09,879935
2016-09-10,510845
2016-09-11,397693
2016-09-12,886146
2016-09-13,904869
2016-09-14,898125
2016-09-15,907872
2016-09-16,889307
2016-09-17,537329
2016-09-18,401077
2016-09-19,894210
2016-09-20,895184
2016-09-21,863211
2016-09-22,897609
2016-09-23,880748
2016-09-24,539037
2016-09-25,394810
2016-09-26,884989
2016-09-27,889769
2016-09-28,855499
2016-09-29,870533
2016-09-30,889641
2016-10-01,511504
2016-10-02,391845
2016-10-03,912435
2016-10-04,919088
2016-10-05,915987
2016-10-06,858960
2016-10-07,888731
2016-10-08,537610
2016-10-09,368515
2016-10-10,714940
2016-10-11,884539
2016-10-12,847394
2016-10-13,896918
2016-10-14,892797
2016-10-15,542187
2016-10-16,385574
2016-10-17,890736
2016-10-18,901884
2016-10-19,895104
2016-10-20,880209
2016-10-21,867704
2016-10-22,533242
2016-10-23,388470
2016-10-24,869861
2016-10-25,876768
2016-10-26,824006
2016-10-27,892963
2016-10-28,894311
2016-10-29,539098
2016-10-30,377290
2016-10-31,860741
2016-11-01,931276
2016-11-02,866812
